-0.5440211109,-0.8390715291,-0.0206835315,-0.9997860729,0.8414709848,0.5403023059,0.3109835929,0.9504152803,0.0998334166,0.9950041653,0.0316175064,0.9995000417,0.0099998333,0.9999500004,0.0031622724,0.9999950000
-0.9999902066,0.0044256980,-0.3305750095,-0.9437797217,0.8912073601,0.4535961214,0.3408778753,0.9401075865,0.1097783008,0.9939560980,0.0347780397,0.9993950610,0.0109997782,0.9999395006,0.0034784984,0.9999939500
-0.5365729180,0.8438539587,-0.6076835491,-0.7941792645,0.9320390860,0.3623577545,0.3704313082,0.9288598634,0.1197122073,0.9928086359,0.0379382252,0.9992800864,0.0119997120,0.9999280009,0.0037947241,0.9999928000
0.4201670368,0.9074467815,-0.8245284517,-0.5658204948,0.9635581854,0.2674988286,0.3996143406,0.9166833580,0.1296341426,0.9915618937,0.0410980314,0.9991551190,0.0129996338,0.9999155012,0.0041109494,0.9999915500
0.9906073557,0.1367372182,-0.9596053299,-0.2813496238,0.9854497300,0.1699671429,0.4283977921,0.9035902455,0.1395431146,0.9902159962,0.0442574265,0.9990201601,0.0139995427,0.9999020016,0.0044271743,0.9999902000
0.6502878402,-0.7596879129,-0.9995186854,0.0310225317,0.9974949866,0.0707372017,0.4567528814,0.8895936181,0.1494381325,0.9887710779,0.0474163791,0.9988752109,0.0149994375,0.9998875021,0.0047433987,0.9999887500
-0.2879033167,-0.9576594803,-0.9403103332,0.3403182001,0.9995736030,-0.0291995223,0.4846512559,0.8747074712,0.1593182066,0.9872272834,0.0505748575,0.9987202730,0.0159993173,0.9998720027,0.0050596227,0.9999872000
-0.9613974919,-0.2751633381,-0.7878519322,0.6158647034,0.9916648105,-0.1288444943,0.5120650195,0.8589466897,0.1691823491,0.9855847669,0.0537328302,0.9985553480,0.0169991812,0.9998555035,0.0053758461,0.9999855500
-0.7509872468,0.6603167082,-0.5572626967,0.8303362493,0.9738476309,-0.2272020947,0.5389667608,0.8423270331,0.1790295734,0.9838436928,0.0568902655,0.9983804374,0.0179990280,0.9998380044,0.0056920691,0.9999838000
0.1498772097,0.9887046182,-0.2714100320,0.9624638147,0.9463000877,-0.3232895669,0.5653295802,0.8248651197,0.1888588950,0.9820042351,0.0600471320,0.9981955429,0.0189988569,0.9998195054,0.0060082914,0.9999819501
0.9129452507,0.4080820618,0.0413582135,0.9991443830,0.9092974268,-0.4161468365,0.5911271172,0.8065784099,0.1986693308,0.9800665778,0.0632033979,0.9980006666,0.0199986667,0.9998000067,0.0063245132,0.9999800001
0.8366556385,-0.5477292602,0.3500249882,0.9367403630,0.8632093666,-0.5048461046,0.6163335763,0.7874851889,0.2084598998,0.9780309147,0.0663590319,0.9977958102,0.0209984565,0.9997795081,0.0066407343,0.9999779501
-0.0088513093,-0.9999608264,0.6239799809,0.7814403262,0.8084964038,-0.5885011173,0.6409237532,0.7676045483,0.2182296231,0.9758974493,0.0695140022,0.9975809759,0.0219982254,0.9997580098,0.0069569547,0.9999758001
-0.8462204042,-0.5328330203,0.8360552287,0.5486452902,0.7457052122,-0.6662760213,0.6648730598,0.7469563671,0.2279775235,0.9736663950,0.0726682774,0.9973561658,0.0229979722,0.9997355117,0.0072731745,0.9999735501
-0.9055783620,0.4241790073,0.9652193481,0.2614414084,0.6754631806,-0.7373937155,0.6881575487,0.7255612918,0.2377026264,0.9713379749,0.0758218259,0.9971213821,0.0239976961,0.9997120138,0.0075893935,0.9999712001
-0.1323517501,0.9912028119,0.9986632058,-0.0516894714,0.5984721441,-0.8011436155,0.7107539373,0.7034407157,0.2474039593,0.9689124217,0.0789746163,0.9968766273,0.0249973959,0.9996875163,0.0079056118,0.9999687502
0.7625584505,0.6469193223,0.9330701931,-0.3596943353,0.5155013718,-0.8568887534,0.7326396313,0.6806167575,0.2570805519,0.9663899781,0.0821266168,0.9966219036,0.0259970708,0.9996620190,0.0082218293,0.9999662002
0.9563759284,-0.2921388087,0.7749451323,-0.6320285135,0.4273798802,-0.9040721420,0.7537927467,0.6571122393,0.2667314367,0.9637708964,0.0852777961,0.9963572138,0.0269967196,0.9996355221,0.0085380459,0.9999635502
0.2709057883,-0.9626058663,0.5399691971,-0.8416847784,0.3349881502,-0.9422223407,0.7741921322,0.6329506635,0.2763556486,0.9610554383,0.0884281226,0.9960825604,0.0279963415,0.9996080256,0.0088542618,0.9999608003
-0.6636338842,-0.7480575297,0.2514448194,-0.9678716355,0.2392493292,-0.9709581651,0.7938173900,0.6081561899,0.2859522251,0.9582438755,0.0915775649,0.9957979462,0.0289959353,0.9995795295,0.0091704767,0.9999579503
-0.9880316241,0.1542514499,-0.0620152002,-0.9980752051,0.1411200081,-0.9899924966,0.8126488966,0.5827536107,0.2955202067,0.9553364891,0.0947260913,0.9955033740,0.0299955002,0.9995500337,0.0094866907,0.9999550003
-0.4040376453,0.9147423578,-0.3693252072,-0.9293002159,0.0415806624,-0.9991351503,0.8306678221,0.5567683265,0.3050586364,0.9523335699,0.0978736705,0.9951988468,0.0309950351,0.9995195385,0.0098029037,0.9999519504
